t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1782959100,23.6,23.6,23.55,23.55,115500,2026-07-02,,,,,,,,,HPG,2026-07-02 09:25:00+07:00,2026-07-02,565,11,-0.21186440677966045,115500.0,2720025.0,891200.0,21011880.0,23.57706463195691,-0.1147922032678661,0.21276595744681437
1782959160,23.55,23.6,23.55,23.6,24500,2026-07-02,,,,,,,,,HPG,2026-07-02 09:26:00+07:00,2026-07-02,566,12,0.2123142250530785,24500.0,578200.0,915700.0,21590080.0,23.57767827891231,0.09467310913160443,0.42553191489362874
1782959220,23.6,23.6,23.55,23.55,35100,2026-07-02,,,,,,,,,HPG,2026-07-02 09:27:00+07:00,2026-07-02,567,13,-0.21186440677966045,35100.0,826605.0,950800.0,22416685.0,23.57665649978965,-0.11306310455804214,0.21276595744681437
1782959280,23.55,23.55,23.55,23.55,8000,2026-07-02,,,,,,,,,HPG,2026-07-02 09:28:00+07:00,2026-07-02,568,14,0.0,8000.0,188400.0,958800.0,22605085.0,23.576434084272005,-0.1121207905212418,0.21276595744681437
1782959340,23.55,23.55,23.5,23.5,24400,2026-07-02,,,,,,,,,HPG,2026-07-02 09:29:00+07:00,2026-07-02,569,15,-0.2123142250530785,24400.0,573400.0,983200.0,23178485.0,23.574537225386493,-0.3161768338180826,0.0
1782959400,23.55,23.55,23.5,23.55,11200,2026-07-02,,,,,,,,,HPG,2026-07-02 09:30:00+07:00,2026-07-02,570,16,0.21276595744681437,11200.0,263760.0,994400.0,23442245.0,23.574260860820594,-0.10291249835499006,0.21276595744681437
1782959460,23.55,23.55,23.5,23.55,10700,2026-07-02,,,,,,,,,HPG,2026-07-02 09:31:00+07:00,2026-07-02,571,17,0.0,10700.0,251985.0,1005100.0,23694230.0,23.574002586807282,-0.10181803755596741,0.21276595744681437
1782959520,23.5,23.55,23.5,23.55,6700,2026-07-02,,,,,,,,,HPG,2026-07-02 09:32:00+07:00,2026-07-02,572,18,0.0,6700.0,157785.0,1011800.0,23852015.0,23.57384364498913,-0.10114449450078222,0.21276595744681437
1782959580,23.55,23.55,23.5,23.5,2900,2026-07-02,,,,,,,,,HPG,2026-07-02 09:33:00+07:00,2026-07-02,573,19,-0.2123142250530785,2900.0,68150.0,1014700.0,23920165.0,23.5736326007687,-0.31235152433104485,0.0
1782959640,23.5,23.55,23.5,23.55,74000,2026-07-02,,,,,,,,,HPG,2026-07-02 09:34:00+07:00,2026-07-02,574,20,0.21276595744681437,74000.0,1742700.0,1088700.0,25662865.0,23.57202626986314,-0.09344241182736024,0.21276595744681437
1782959700,23.5,23.55,23.5,23.55,31000,2026-07-02,,,,,,,,,HPG,2026-07-02 09:35:00+07:00,2026-07-02,575,21,0.0,31000.0,730050.0,1119700.0,26392915.0,23.571416450835045,-0.09085771692894928,0.21276595744681437
1782959760,23.55,23.55,23.5,23.55,54300,2026-07-02,,,,,,,,,HPG,2026-07-02 09:36:00+07:00,2026-07-02,576,22,0.0,54300.0,1278765.0,1174000.0,27671680.0,23.570425894378193,-0.08665899576750791,0.21276595744681437
1782959820,23.55,23.55,23.5,23.55,93200,2026-07-02,,,,,,,,,HPG,2026-07-02 09:37:00+07:00,2026-07-02,577,23,0.0,93200.0,2194860.0,1267200.0,29866540.0,23.56892361111111,-0.08029051908924334,0.21276595744681437
1782959880,23.55,23.55,23.5,23.55,84600,2026-07-02,,,,,,,,,HPG,2026-07-02 09:38:00+07:00,2026-07-02,578,24,0.0,84600.0,1992330.0,1351800.0,31858870.0,23.567739310548898,-0.0752694618484595,0.21276595744681437
1782959940,23.5,23.55,23.5,23.5,51400,2026-07-02,,,,,,,,,HPG,2026-07-02 09:39:00+07:00,2026-07-02,579,25,-0.2123142250530785,51400.0,1207900.0,1403200.0,33066770.0,23.565257981755988,-0.2769245378366314,0.0
1782960000,23.55,23.55,23.5,23.55,27000,2026-07-02,,,,,,,,,HPG,2026-07-02 09:40:00+07:00,2026-07-02,580,26,0.21276595744681437,27000.0,635850.0,1430200.0,33702620.0,23.564969934274927,-0.06352621843642714,0.21276595744681437
1782960060,23.5,23.55,23.5,23.55,50900,2026-07-02,,,,,,,,,HPG,2026-07-02 09:41:00+07:00,2026-07-02,581,27,0.0,50900.0,1198695.0,1481100.0,34901315.0,23.564455472284113,-0.06134439347055265,0.21276595744681437
1782960120,23.55,23.55,23.5,23.55,66400,2026-07-02,23.5,23.55,15610.0,30680.0,67680.0,42300.0,73560.0,43010.0,HPG,2026-07-02 09:42:00+07:00,2026-07-02,582,28,0.0,66400.0,1563720.0,1547500.0,36465035.0,23.5638352180937,-0.05871377882950002,0.21276595744681437
