t,open,high,low,close,volume,date_vn
1718841600,15.042,15.111,14.94,15.042,3562700,2024-06-20
1718928000,15.042,15.042,14.906,14.906,3604200,2024-06-21
1719187200,14.837,14.906,14.564,14.564,7871800,2024-06-24
1719273600,14.701,14.701,14.461,14.564,3238000,2024-06-25
1719360000,14.598,14.666,14.461,14.53,2587600,2024-06-26
1719446400,14.495,14.598,14.427,14.461,3009100,2024-06-27
1719532800,14.53,14.53,14.359,14.359,2780600,2024-06-28
1719792000,14.29,14.495,14.29,14.495,2130300,2024-07-01
1719878400,14.495,14.701,14.495,14.632,2316500,2024-07-02
1719964800,14.666,14.701,14.564,14.598,2533700,2024-07-03
1720051200,14.564,14.701,14.461,14.53,2950500,2024-07-04
1720137600,14.53,14.53,14.359,14.495,2937800,2024-07-05
1720396800,14.495,14.632,14.461,14.564,2197500,2024-07-08
1720483200,14.598,14.701,14.53,14.632,4017200,2024-07-09
1720569600,14.666,14.803,14.598,14.598,3291800,2024-07-10
1720656000,14.701,14.735,14.564,14.564,2654700,2024-07-11
1720742400,14.564,14.666,14.53,14.564,1453100,2024-07-12
1721001600,14.598,14.666,14.495,14.564,1465100,2024-07-15
1721088000,14.564,14.803,14.564,14.564,3172800,2024-07-16
1721174400,14.666,15.179,14.632,14.769,8679900,2024-07-17
1721260800,14.803,14.94,14.666,14.735,3563500,2024-07-18
1721347200,14.735,14.94,14.632,14.666,4828200,2024-07-19
1721606400,14.666,14.906,14.53,14.598,5098600,2024-07-22
1721692800,14.666,14.701,14.427,14.427,3948000,2024-07-23
1721779200,14.427,14.495,14.256,14.359,3426700,2024-07-24
1721865600,14.359,14.393,14.222,14.222,2790100,2024-07-25
1721952000,14.29,14.359,14.222,14.29,1464000,2024-07-26
1722211200,14.359,14.427,14.29,14.29,1868900,2024-07-29
1722297600,14.325,14.325,14.017,14.085,3730100,2024-07-30
1722384000,14.085,14.495,14.051,14.495,5398700,2024-07-31
1722470400,14.564,14.598,14.119,14.154,4218000,2024-08-01
1722556800,14.085,14.427,13.983,14.427,4311300,2024-08-02
1722816000,14.154,14.29,13.812,13.846,6979100,2024-08-05
1722902400,14.051,14.222,13.914,14.222,2711600,2024-08-06
1722988800,14.29,14.29,14.017,14.119,1515700,2024-08-07
1723075200,14.051,14.359,14.051,14.119,2588800,2024-08-08
1723161600,14.256,14.29,14.154,14.29,2128400,2024-08-09
1723420800,14.256,14.29,14.119,14.222,2392000,2024-08-12
1723507200,14.154,14.359,14.051,14.051,4890000,2024-08-13
1723593600,14.119,14.188,14.085,14.085,1546700,2024-08-14
1723680000,14.119,14.222,14.085,14.222,2118100,2024-08-15
1723766400,14.188,14.495,14.188,14.461,4174800,2024-08-16
1724025600,14.495,14.803,14.495,14.701,4641600,2024-08-19
1724112000,14.701,14.735,14.564,14.632,4033700,2024-08-20
1724198400,14.632,14.666,14.495,14.598,7067100,2024-08-21
1724284800,14.92,14.96,14.72,14.72,8297900,2024-08-22
1724371200,14.72,14.76,14.64,14.72,4067700,2024-08-23
1724630400,14.8,14.8,14.68,14.68,3186300,2024-08-26
1724716800,14.72,14.72,14.64,14.64,3446700,2024-08-27
1724803200,14.64,14.72,14.56,14.64,2300900,2024-08-28
1724889600,14.68,14.76,14.64,14.64,3745600,2024-08-29
1724976000,14.64,14.72,14.64,14.68,2398100,2024-08-30
1725408000,14.56,14.6,14.4,14.56,2123900,2024-09-04
1725494400,14.6,14.72,14.52,14.52,3844600,2024-09-05
1725580800,14.56,14.6,14.48,14.48,2085200,2024-09-06
1725840000,14.48,14.48,14.28,14.32,2840800,2024-09-09
1725926400,14.4,14.48,14.28,14.32,1429800,2024-09-10
1726012800,14.32,14.36,14.24,14.28,2198200,2024-09-11
1726099200,14.32,14.52,14.32,14.52,1778300,2024-09-12
1726185600,14.48,14.52,14.4,14.4,1621000,2024-09-13
1726444800,14.4,14.48,14.32,14.4,1832900,2024-09-16
1726531200,14.44,14.52,14.32,14.52,1548000,2024-09-17
1726617600,14.52,14.64,14.48,14.6,2956000,2024-09-18
1726704000,14.64,14.68,14.6,14.64,2095400,2024-09-19
1726790400,14.72,14.88,14.68,14.76,6346100,2024-09-20
1727049600,14.8,14.92,14.76,14.8,3124100,2024-09-23
1727136000,14.8,15.28,14.6,15.28,19066000,2024-09-24
1727222400,15.28,15.56,15.16,15.56,15476000,2024-09-25
1727308800,15.56,15.72,15.4,15.52,19828500,2024-09-26
1727395200,15.56,15.64,15.36,15.48,17254200,2024-09-27
1727654400,15.48,15.56,15.36,15.44,9580700,2024-09-30
