t,open,high,low,close,volume,date_vn
1717545600,69.298,70.411,69.041,69.041,1781200,2024-06-05
1717632000,69.812,69.812,68.698,68.784,1056200,2024-06-06
1717718400,68.955,69.383,68.784,68.784,874000,2024-06-07
1717977600,69.212,69.383,68.784,68.784,1115800,2024-06-10
1718064000,69.126,69.897,68.784,68.784,2392700,2024-06-11
1718150400,68.955,69.383,68.612,68.869,1336700,2024-06-12
1718236800,69.383,69.383,68.698,68.698,1403600,2024-06-13
1718323200,68.698,69.041,67.67,67.67,2277200,2024-06-14
1718582400,67.67,67.927,66.471,66.471,1251500,2024-06-17
1718668800,66.813,67.67,66.813,66.813,938200,2024-06-18
1718755200,66.985,67.499,66.728,66.985,994100,2024-06-19
1718841600,67.413,67.584,66.813,66.813,831500,2024-06-20
1718928000,66.985,67.67,66.728,66.728,1053300,2024-06-21
1719187200,66.728,67.156,65.443,65.529,1726600,2024-06-24
1719273600,65.614,66.128,65.357,65.357,1018000,2024-06-25
1719360000,65.529,65.871,65.186,65.529,1133800,2024-06-26
1719446400,65.614,66.642,65.529,65.529,1010000,2024-06-27
1719532800,65.614,66.128,65.529,65.614,660200,2024-06-28
1719792000,65.7,66.556,65.614,66.556,792100,2024-07-01
1719878400,66.813,67.07,66.471,66.985,876400,2024-07-02
1719964800,67.242,67.242,66.813,66.985,640700,2024-07-03
1720051200,67.156,68.27,66.985,66.985,1165700,2024-07-04
1720137600,67.242,67.927,67.156,67.327,752100,2024-07-05
1720396800,67.413,67.756,67.242,67.413,793300,2024-07-08
1720483200,67.67,67.67,67.156,67.67,1535400,2024-07-09
1720569600,67.841,68.27,67.242,67.242,1121400,2024-07-10
1720656000,67.327,67.584,66.985,66.985,728000,2024-07-11
1720742400,67.413,68.441,66.556,66.813,1232700,2024-07-12
1721001600,67.67,68.013,67.07,67.07,1208600,2024-07-15
1721088000,67.67,67.756,67.07,67.07,907800,2024-07-16
1721174400,67.499,67.499,66.043,66.813,1573000,2024-07-17
1721260800,66.899,67.327,66.642,66.899,1131900,2024-07-18
1721347200,66.899,67.156,66.556,66.642,663300,2024-07-19
1721606400,66.642,66.642,65.614,65.957,1142800,2024-07-22
1721692800,66.043,66.214,65.786,65.786,656800,2024-07-23
1721779200,65.7,66.3,65.357,65.957,1006200,2024-07-24
1721865600,65.871,65.957,65.443,65.786,490600,2024-07-25
1721952000,65.614,66.128,65.529,66.128,545800,2024-07-26
1722211200,66.385,66.385,65.957,65.957,362200,2024-07-29
1722297600,65.957,66.128,65.786,66.128,631600,2024-07-30
1722384000,66.3,68.955,66.3,68.441,3188600,2024-07-31
1722470400,68.612,69.469,67.413,67.584,1422900,2024-08-01
1722556800,66.899,67.584,66.642,67.584,1395600,2024-08-02
1722816000,66.813,67.242,65.443,65.529,2101300,2024-08-05
1722902400,65.786,66.813,65.529,66.214,888700,2024-08-06
1722988800,66.471,68.098,66.471,68.013,1832200,2024-08-07
1723075200,68.013,70.582,67.584,69.983,3931000,2024-08-08
1723161600,70.24,70.411,69.298,69.897,1243900,2024-08-09
1723420800,69.897,71.353,69.555,70.668,1889500,2024-08-12
1723507200,70.497,70.497,69.469,69.812,1731900,2024-08-13
1723593600,70.154,71.353,70.068,70.24,2298800,2024-08-14
1723680000,70.24,70.839,69.555,69.555,1248000,2024-08-15
1723766400,69.897,71.182,69.383,70.754,2313100,2024-08-16
1724025600,70.839,72.553,70.754,72.381,3021100,2024-08-19
1724112000,72.981,73.752,72.381,72.381,2910000,2024-08-20
1724198400,72.381,73.238,72.296,72.81,2170800,2024-08-21
1724284800,73.067,73.152,72.21,72.381,1300200,2024-08-22
1724371200,72.553,73.152,72.467,72.553,891400,2024-08-23
1724630400,72.981,73.067,71.867,72.124,1215500,2024-08-26
1724716800,72.381,72.381,71.096,71.525,1795300,2024-08-27
1724803200,71.353,72.124,71.353,71.782,845500,2024-08-28
1724889600,71.782,72.039,71.439,71.439,907700,2024-08-29
1724976000,71.696,71.953,71.353,71.353,958100,2024-08-30
1725408000,71.096,72.296,71.011,71.867,1377600,2024-09-04
1725494400,72.296,72.638,71.353,71.353,900300,2024-09-05
1725580800,72.381,72.381,71.782,72.039,877900,2024-09-06
1725840000,71.782,73.152,71.696,72.553,1968200,2024-09-09
1725926400,72.467,72.981,71.525,72.039,1905500,2024-09-10
1726012800,71.953,71.953,71.096,71.61,1490200,2024-09-11
1726099200,71.782,72.124,71.439,71.61,1759000,2024-09-12
1726185600,71.633,71.633,69.844,69.939,2093200,2024-09-13
1726444800,69.656,69.656,68.338,68.338,1863200,2024-09-16
1726531200,68.338,68.903,68.056,68.433,764100,2024-09-17
1726617600,68.997,69.186,68.621,68.809,777600,2024-09-18
