t,open,high,low,close,volume,date_vn
1718928000,52.726,52.894,51.799,51.799,960200,2024-06-21
1719187200,52.305,52.978,51.125,51.799,950000,2024-06-24
1719273600,51.799,52.052,49.946,51.041,1150200,2024-06-25
1719360000,51.041,51.21,50.367,50.536,848100,2024-06-26
1719446400,50.873,51.968,50.452,51.041,1076400,2024-06-27
1719532800,51.378,51.631,50.536,50.536,947400,2024-06-28
1719792000,51.041,51.294,50.704,51.294,278900,2024-07-01
1719878400,51.378,51.547,51.125,51.547,424800,2024-07-02
1719964800,51.631,51.799,51.378,51.799,450400,2024-07-03
1720051200,52.305,52.305,51.378,51.378,679800,2024-07-04
1720137600,51.814,51.901,50.508,50.508,1112800,2024-07-05
1720396800,50.508,50.508,48.505,49.115,1317900,2024-07-08
1720483200,49.202,50.943,48.505,49.898,1503200,2024-07-09
1720569600,49.986,50.16,49.115,49.115,584100,2024-07-10
1720656000,49.55,49.55,48.941,49.028,561000,2024-07-11
1720742400,49.202,49.202,48.505,48.766,481400,2024-07-12
1721001600,49.115,49.115,48.505,48.592,402500,2024-07-15
1721088000,48.592,48.853,48.418,48.592,888900,2024-07-16
1721174400,48.592,48.853,46.763,47.025,1128200,2024-07-17
1721260800,47.199,48.331,46.589,47.286,1203600,2024-07-18
1721347200,47.286,48.157,47.286,48.07,728700,2024-07-19
1721606400,48.07,49.202,47.634,48.505,990500,2024-07-22
1721692800,48.505,48.505,47.634,47.634,439700,2024-07-23
1721779200,47.808,47.808,46.938,47.547,383300,2024-07-24
1721865600,47.808,47.808,46.763,47.025,416200,2024-07-25
1721952000,47.634,48.505,47.46,47.896,1302400,2024-07-26
1722211200,48.331,48.418,47.808,47.808,427300,2024-07-29
1722297600,47.634,48.331,47.634,47.721,714700,2024-07-30
1722384000,47.721,48.418,47.634,48.244,926300,2024-07-31
1722470400,48.592,50.073,47.896,47.896,1285700,2024-08-01
1722556800,47.896,48.244,47.46,47.983,597000,2024-08-02
1722816000,47.634,47.808,45.283,45.283,1609500,2024-08-05
1722902400,45.98,47.025,45.37,46.415,738500,2024-08-06
1722988800,46.938,46.938,45.893,46.067,704300,2024-08-07
1723075200,46.154,46.851,45.98,45.98,892100,2024-08-08
1723161600,46.502,47.199,46.415,46.676,471000,2024-08-09
1723420800,46.851,47.373,46.502,47.025,542700,2024-08-12
1723507200,47.46,47.721,46.851,47.286,732900,2024-08-13
1723593600,47.373,49.376,47.286,48.505,1649400,2024-08-14
1723680000,48.592,49.202,48.505,48.505,899700,2024-08-15
1723766400,48.418,49.202,48.331,49.028,946500,2024-08-16
1724025600,49.028,50.334,48.853,50.334,1178400,2024-08-19
1724112000,50.334,50.943,49.898,50.508,970200,2024-08-20
1724198400,50.508,50.508,49.811,49.986,777500,2024-08-21
1724284800,50.16,50.334,49.289,49.637,785800,2024-08-22
1724371200,49.289,50.073,49.289,49.55,651200,2024-08-23
1724630400,49.55,50.247,49.376,49.376,578500,2024-08-26
1724716800,49.376,49.986,49.376,49.637,692700,2024-08-27
1724803200,49.724,50.595,49.637,49.986,997600,2024-08-28
1724889600,49.986,50.682,49.986,49.986,824600,2024-08-29
1724976000,50.247,50.943,49.986,50.073,1404900,2024-08-30
1725408000,49.811,50.247,49.637,49.811,698100,2024-09-04
1725494400,49.898,50.682,49.376,49.637,824400,2024-09-05
1725580800,49.637,49.898,49.376,49.376,454100,2024-09-06
1725840000,49.376,49.55,48.418,48.941,1129500,2024-09-09
1725926400,49.289,49.55,48.157,48.157,1289900,2024-09-10
1726012800,48.505,48.505,47.896,48.244,649500,2024-09-11
1726099200,49.115,49.202,48.157,48.244,625800,2024-09-12
1726185600,48.331,49.028,48.331,48.853,538100,2024-09-13
1726444800,48.505,49.115,48.505,48.592,567100,2024-09-16
1726531200,48.505,49.202,48.505,49.202,361500,2024-09-17
1726617600,49.202,49.289,48.853,48.853,466900,2024-09-18
1726704000,49.028,49.376,48.941,49.202,358900,2024-09-19
1726790400,49.463,49.986,49.202,49.986,946400,2024-09-20
1727049600,50.073,50.334,49.724,49.986,646600,2024-09-23
1727136000,50.247,50.334,49.811,50.073,598600,2024-09-24
1727222400,50.073,50.247,49.898,49.986,337400,2024-09-25
1727308800,50.073,50.943,50.073,50.595,1091100,2024-09-26
1727395200,50.769,51.205,50.421,50.943,794200,2024-09-27
1727654400,51.205,51.205,50.247,50.334,551500,2024-09-30
1727740800,50.508,50.508,50.16,50.334,559300,2024-10-01
1727827200,50.334,50.334,49.463,49.55,635600,2024-10-02
1727913600,49.811,50.247,49.463,49.463,606400,2024-10-03
1728000000,49.463,49.637,49.289,49.289,381200,2024-10-04
1728259200,49.289,49.724,49.202,49.376,414800,2024-10-07
1728345600,49.376,49.55,48.853,49.028,514800,2024-10-08
1728432000,49.115,49.289,48.679,49.115,613900,2024-10-09
1728518400,49.289,50.421,49.202,50.247,685400,2024-10-10
1728604800,50.421,50.682,49.986,50.073,379300,2024-10-11
1728864000,50.16,50.247,49.724,49.811,335400,2024-10-14
1728950400,49.811,50.682,49.724,49.724,642600,2024-10-15
1729036800,49.724,50.334,49.724,50.334,531800,2024-10-16
1729123200,50.508,50.508,49.55,49.898,294700,2024-10-17
1729209600,50.073,50.595,49.898,49.986,245300,2024-10-18
1729468800,49.986,50.16,49.202,49.289,645600,2024-10-21
1729555200,49.115,49.202,48.679,48.766,646300,2024-10-22
1729641600,48.766,49.202,48.418,48.766,369000,2024-10-23
1729728000,48.766,48.766,48.505,48.679,228400,2024-10-24
1729814400,48.679,48.766,48.07,48.331,449500,2024-10-25
1730073600,48.418,48.418,48.157,48.331,238900,2024-10-28
1730160000,48.331,48.505,48.07,48.244,258400,2024-10-29
