Ticker,IntradayDate,IntradayLastTimestamp,IntradayOpen,IntradayHigh,IntradayLow,IntradayLast,IntradayVolume,IntradayVWAP,IntradayRetFromOpenPct,IntradayRangePct,IntradayCloseVsVWAPPct,IntradayAvgVolumePerMinute,IntradayTradedValue,IntradayRet5mPct,IntradayVolume5m,IntradayRet15mPct,IntradayVolume15m,IntradayRet30mPct,IntradayVolume30m,IntradayRet60mPct,IntradayVolume60m,IntradayVolumePctADV20,IntradayFirst15mVolume,IntradayFirst15mRangePct,IntradayFirst30mVolume,IntradayFirst30mRangePct
STB,2026-08-12,2026-08-12 13:04:00+07:00,74.3,75.4,74.3,74.9,587000.0,74.95981260647359,0.8075370121130687,1.4804845222072793,-0.07979289754577179,5590.476190476191,44001410.0,-0.26631158455391324,15400.0,0.13368983957220415,63600.0,0.0,118500.0,-0.26631158455391324,291800.0,14.648022188235094,42500.0,0.40376850605652376,121100.0,0.6729475100942126
TCB,2026-08-12,2026-08-12 13:05:00+07:00,31.0,31.4,30.9,31.15,6319800.0,31.113015443526695,0.4838709677419395,1.6129032258064515,0.11887165530590771,45141.42857142857,196628035.0,0.1607717041800516,379100.0,0.0,1163700.0,0.32206119162641045,1301000.0,0.0,2078200.0,44.9655739928307,532100.0,0.4838709677419424,1020300.0,0.4838709677419424
TPB,2026-08-12,2026-08-12 13:06:00+07:00,14.7,14.8,14.65,14.7,1645300.0,14.716361757734152,0.0,1.0204081632653086,-0.11118072526012934,12955.11811023622,24212830.0,0.0,242500.0,0.0,399800.0,0.0,475100.0,0.0,609700.0,17.395363644484,291400.0,0.3401360544217735,529800.0,0.3401360544217735
VCB,2026-08-12,2026-08-12 13:06:00+07:00,59.9,60.3,59.6,60.0,1336000.0,60.09233532934132,0.16694490818029983,1.1686143572620964,-0.15365575132879616,9542.857142857143,80283360.0,-0.16638935108153063,46900.0,-0.16638935108153063,120600.0,-0.16638935108153063,149800.0,-0.33222591362126463,469900.0,26.34635000457462,135000.0,0.5008347245408968,244600.0,0.5008347245408968
VHM,2026-08-12,2026-08-12 13:06:00+07:00,72.9,75.5,72.0,73.7,4033700.0,73.84355058631033,1.0973936899862702,4.801097393689986,-0.19439827198252102,28406.338028169015,297862730.0,-0.13550135501354532,160900.0,-0.27063599458728715,392400.0,0.2721088435374108,511500.0,-0.13550135501354532,1053200.0,66.31034452799803,220200.0,1.3717421124828533,433500.0,1.783264746227705
VIB,2026-08-12,2026-08-12 13:06:00+07:00,14.85,14.95,14.75,14.75,1606000.0,14.862257160647571,-0.6734006734006703,1.346801346801342,-0.7553170385505514,12848.0,23868785.0,-0.33783783783783994,447000.0,-1.0067114093959773,740300.0,-1.0067114093959773,793600.0,-1.0067114093959773,1023700.0,24.72581785376791,128000.0,0.3367003367003415,252800.0,0.673400673400671
VIC,2026-08-12,2026-08-12 13:06:00+07:00,208.7,215.0,207.5,213.4,1999500.0,211.93488872218055,2.2520364159080097,3.5936751317680886,0.6913025442167875,14080.985915492958,423763810.0,-0.187090739008422,30700.0,-0.37348272642389047,187900.0,0.4235294117647115,429900.0,0.32910202162670377,836500.0,48.758521356323804,80000.0,0.23957834211787254,203000.0,0.6708193579300459
VJC,2026-08-12,2026-08-12 13:06:00+07:00,127.3,128.5,126.1,127.5,964500.0,127.38307931570762,0.15710919088767206,1.8853102906520078,0.09178666815128356,7594.488188976378,122860980.0,-0.07836990595611049,52200.0,0.0,78700.0,-0.31274433150899617,130100.0,0.07849293563579884,321800.0,80.50753553036687,214100.0,0.9426551453260039,340900.0,1.6496465043204984
VNM,2026-08-12,2026-08-12 13:06:00+07:00,61.9,62.5,61.4,62.2,1812600.0,62.03573320092685,0.4846526655896577,1.7770597738287583,0.26479383832074266,12947.142857142857,112445970.0,-0.16051364365969878,38400.0,-0.16051364365969878,121700.0,0.3225806451612856,210600.0,0.0,458800.0,32.195087380639414,159700.0,0.6462035541195453,605500.0,1.1308562197092131
VPB,2026-08-12,2026-08-12 13:06:00+07:00,25.55,25.8,25.35,25.55,4875400.0,25.61066066374041,0.0,1.76125244618395,-0.2368570828252592,34333.80281690141,124862215.0,0.0,276800.0,0.0,473900.0,-0.3898635477582735,631500.0,-0.1953125,1042800.0,32.71849366481842,316100.0,0.5870841487279926,1036600.0,0.782778864970643
VPL,2026-08-12,2026-08-12 13:06:00+07:00,78.3,79.0,77.5,78.4,344100.0,78.4238302818948,0.12771392081738497,1.9157088122605366,-0.030386531503412417,3700.0,26985640.0,0.12771392081738497,32700.0,0.512820512820511,128900.0,0.3841229193342066,144200.0,0.0,275100.0,56.024675605161335,30200.0,1.277139208173691,62000.0,1.7879948914431745
VRE,2026-08-12,2026-08-12 13:06:00+07:00,25.4,26.0,25.4,25.65,2367600.0,25.750399138367968,0.9842519685039353,2.362204724409455,-0.3898935229255329,16911.428571428572,60966645.0,-0.1945525291828787,90200.0,-0.3883495145631133,257300.0,-0.3883495145631133,334100.0,-0.5813953488372214,655700.0,37.82132430673765,103900.0,0.19685039370079022,319800.0,0.984251968503937
VNINDEX,2026-08-12,2026-08-12 13:06:00+07:00,1773.41,1794.01,1770.63,1788.05,237102869.0,1784.4266136858091,0.8255282196446334,1.318364055689315,0.2030560565730699,1658062.020979021,423092669624.86,-0.10670629511274621,12673958.0,-0.19480446989740274,32271907.0,-0.022924750903019486,45895022.0,-0.04416269761409186,78086777.0,40.3512638555951,36679249.0,0.18157109749014763,65373261.0,0.4144557660101109
VN30,2026-08-12,2026-08-12 13:06:00+07:00,1922.53,1944.59,1919.58,1935.85,92744798.0,1934.6896410956654,0.6928370428549879,1.3008899731083516,0.05997648820186274,648565.020979021,179432399956.11,-0.070204056349088,5229986.0,-0.1506109543679801,13769135.0,-0.06504535106421905,18830458.0,-0.06659301857377953,31352579.0,34.82253706448734,9292616.0,0.1680077814130348,18542624.0,0.40467508959547954
