t,open,high,low,close,volume,date_vn
1786588620,1792.41,1792.41,1791.36,1791.36,1269379,2026-08-13
1786588680,1791.69,1791.69,1790.73,1790.89,1201610,2026-08-13
1786588740,1790.92,1791.1,1790.78,1790.85,1527449,2026-08-13
1786588800,1790.71,1790.86,1790.46,1790.53,1288127,2026-08-13
1786588860,1790.44,1791.03,1790.33,1790.95,1553142,2026-08-13
1786588920,1791.15,1792.59,1791.15,1792.14,1764940,2026-08-13
1786588980,1792.29,1792.64,1792.25,1792.5,1092302,2026-08-13
1786589040,1792.56,1793.04,1792.39,1792.53,1583025,2026-08-13
1786589100,1792.98,1793.61,1792.98,1793.52,1994251,2026-08-13
1786589160,1793.49,1793.76,1793.19,1793.31,1692550,2026-08-13
1786589220,1793.36,1794.0,1793.36,1793.82,1141188,2026-08-13
1786589280,1793.91,1794.72,1793.79,1794.72,1700954,2026-08-13
1786589340,1794.84,1794.84,1794.31,1794.78,1602714,2026-08-13
1786589400,1795.1,1795.4,1794.73,1795.4,1166355,2026-08-13
1786589460,1795.62,1796.31,1795.62,1796.12,1981424,2026-08-13
1786589520,1795.92,1795.92,1793.51,1793.99,2313837,2026-08-13
1786589580,1793.85,1794.19,1793.64,1794.19,1283397,2026-08-13
1786589640,1794.16,1794.36,1793.7,1793.88,1289381,2026-08-13
1786589700,1794.16,1794.16,1793.55,1793.55,1025523,2026-08-13
1786589760,1793.63,1793.69,1793.33,1793.45,1496039,2026-08-13
1786589820,1793.47,1793.54,1793.01,1793.22,1208723,2026-08-13
1786589880,1793.14,1793.49,1793.09,1793.09,798606,2026-08-13
1786589940,1793.01,1793.58,1793.01,1793.26,869020,2026-08-13
1786590000,1793.23,1793.43,1792.8,1793.21,1217605,2026-08-13
1786590060,1792.97,1793.34,1792.55,1792.55,832108,2026-08-13
1786590120,1792.94,1794.14,1792.94,1794.01,1606223,2026-08-13
1786590180,1793.99,1794.33,1793.69,1794.09,1335808,2026-08-13
1786590240,1793.88,1793.88,1793.27,1793.27,1324644,2026-08-13
1786590300,1793.12,1793.64,1792.94,1793.29,868257,2026-08-13
1786590360,1793.1,1793.51,1793.1,1793.35,1267281,2026-08-13
1786590420,1793.44,1793.73,1792.93,1793.72,1931056,2026-08-13
1786590480,1793.96,1793.97,1793.6,1793.93,1453270,2026-08-13
