t,open,high,low,close,volume,date_vn
1784865540,1829.25,1829.73,1828.48,1829.55,544140,2026-07-24
1784865600,1829.66,1830.48,1829.46,1829.79,715795,2026-07-24
1784865660,1829.68,1831.06,1829.51,1831.06,527988,2026-07-24
1784865720,1830.52,1831.26,1829.55,1830.6,600010,2026-07-24
1784865780,1829.09,1830.39,1828.82,1830.39,800590,2026-07-24
1784865840,1829.92,1831.66,1829.92,1830.68,677894,2026-07-24
1784865900,1830.44,1831.34,1830.25,1831.24,630874,2026-07-24
1784865960,1830.61,1831.46,1830.48,1831.36,608277,2026-07-24
1784866020,1831.27,1832.74,1831.27,1832.27,1027914,2026-07-24
1784866080,1832.3,1833.78,1831.89,1833.51,569930,2026-07-24
1784866140,1833.2,1833.86,1832.36,1832.89,1362716,2026-07-24
1784866200,1833.16,1834.35,1832.8,1833.59,948383,2026-07-24
1784866260,1833.73,1834.19,1832.81,1833.19,651907,2026-07-24
1784866320,1833.71,1834.5,1833.19,1834.23,1299298,2026-07-24
1784866380,1834.68,1835.84,1834.68,1834.83,1139025,2026-07-24
1784866440,1835.55,1835.81,1833.97,1833.97,768487,2026-07-24
1784866500,1834.38,1834.41,1833.23,1833.62,559739,2026-07-24
1784866560,1832.65,1832.86,1830.86,1830.86,973099,2026-07-24
1784866620,1830.86,1831.81,1830.57,1830.57,769001,2026-07-24
1784866680,1831.02,1831.74,1830.98,1831.28,398875,2026-07-24
1784866740,1831.07,1831.88,1831.07,1831.88,310773,2026-07-24
1784866800,1831.69,1832.47,1830.95,1831.92,279377,2026-07-24
1784866860,1831.31,1832.52,1831.26,1831.97,274924,2026-07-24
1784866920,1831.39,1832.36,1831.0,1831.55,277139,2026-07-24
1784866980,1831.28,1832.3,1831.1,1831.67,259050,2026-07-24
1784867040,1832.23,1832.23,1830.68,1831.12,244724,2026-07-24
1784867100,1831.4,1831.62,1830.33,1831.62,765087,2026-07-24
1784867160,1832.25,1832.32,1830.78,1831.89,409673,2026-07-24
1784867220,1832.53,1832.53,1831.6,1832.21,357580,2026-07-24
1784867280,1832.49,1832.91,1831.55,1832.86,284583,2026-07-24
1784867340,1832.61,1833.55,1832.61,1833.43,603644,2026-07-24
1784867400,1833.37,1833.37,1833.37,1833.37,5245,2026-07-24
1784872800,1832.57,1833.21,1832.35,1833.21,1760405,2026-07-24
1784872860,1830.94,1831.91,1830.45,1830.76,679457,2026-07-24
1784872920,1830.91,1831.34,1830.02,1830.02,859311,2026-07-24
1784872980,1830.16,1830.52,1828.86,1828.86,1179058,2026-07-24
1784873040,1829.55,1829.67,1828.15,1829.12,574310,2026-07-24
1784873100,1829.48,1830.37,1828.61,1828.92,1533815,2026-07-24
1784873160,1829.58,1831.53,1829.36,1830.57,1804845,2026-07-24
1784873220,1831.51,1831.75,1830.0,1831.2,704240,2026-07-24
1784873280,1830.95,1831.21,1829.87,1830.71,428653,2026-07-24
