TradeDate,SnapshotDate,SnapshotTs,SnapshotTimeBucket,Ticker,PrevClose,Base,SnapshotRetFromPrevClosePct,FeatureSet,Model,UsedFeatureCount,PredTargetLowRetPct,PredTargetCloseRetPct,PredTargetHighRetPct,PredLow,PredClose,PredHigh
2026-07-01 00:00:00+07:00,2026-07-01,2026-07-01 10:23:00+07:00,AM_EARLY,MSN,72.1,71.9,-0.2773925104022079,price_volume_core,ridge,81,2.0511260418221133,-0.17596093953838665,-1.75146819540383,73.37475962407011,71.7734840844719,70.64069436750465
2026-07-01 00:00:00+07:00,2026-07-01,2026-07-01 10:23:00+07:00,AM_EARLY,MWG,78.1,78.5,0.512163892445594,price_volume_core,ridge,81,1.8776280506552965,0.5264216790576506,-0.831604181537739,79.9739380197644,78.91324101806026,77.84719071749288
2026-07-01 00:00:00+07:00,2026-07-01,2026-07-01 10:23:00+07:00,AM_EARLY,PLX,36.95,37.6,1.7591339648173276,price_volume_core,ridge,81,0.868927868769262,0.40757235773974043,-0.19354524455807331,37.926716878657246,37.753247206510146,37.527226988046166
2026-07-01 00:00:00+07:00,2026-07-01,2026-07-01 10:23:00+07:00,AM_EARLY,SAB,48.5,48.35,-0.3092783505154628,price_volume_core,ridge,81,1.9599428452770322,-0.2482234777990114,-1.7923508933918328,49.29763236569144,48.229983948484175,47.483398343045046
2026-07-01 00:00:00+07:00,2026-07-01,2026-07-01 10:23:00+07:00,AM_EARLY,SHB,13.55,13.55,0.0,price_volume_core,ridge,81,1.5897732273941791,0.30889470655698015,-0.7388456704906711,13.765414272311912,13.591855232738471,13.449886411648514
2026-06-30 00:00:00+07:00,2026-06-30,2026-06-30 14:15:00+07:00,PM_LATE,SSB,16.15,16.0,-0.9287925696594312,range_micro_volume,ridge,67,0.09569236703382,0.21314010082247928,0.12826756933732597,16.01531077872541,16.034102416131596,16.020522811093972
2026-06-30 00:00:00+07:00,2026-06-30,2026-06-30 14:15:00+07:00,PM_LATE,SSI,26.6,26.85,0.9398496240601517,range_micro_volume,ridge,67,-0.3026663325988267,0.1887203774404994,0.5561850433857725,26.76873408969722,26.90067142134278,26.99933568414908
2026-06-30 00:00:00+07:00,2026-06-30,2026-06-30 14:15:00+07:00,PM_LATE,STB,74.9,74.2,-0.9345794392523366,range_micro_volume,ridge,67,-0.1652126074722402,-0.0935247284234024,0.1557005379648856,74.0774122452556,74.13060465150984,74.31552979916994
2026-06-30 00:00:00+07:00,2026-06-30,2026-06-30 14:15:00+07:00,PM_LATE,TCB,33.8,33.65,-0.4437869822485174,range_micro_volume,ridge,67,-0.2739479133621119,0.0847933402100819,0.3989527098872685,33.55781652715365,33.67853295898069,33.784247586877065
2026-06-30 00:00:00+07:00,2026-06-30,2026-06-30 14:15:00+07:00,PM_LATE,TPB,16.35,16.5,0.917431192660545,range_micro_volume,ridge,67,0.34182430277538944,0.6744128269158062,0.38732459719677625,16.556401009957938,16.611278116441106,16.563908558537467
2026-06-30 00:00:00+07:00,2026-06-30,2026-06-30 14:15:00+07:00,PM_LATE,VCB,62.0,62.4,0.6451612903225712,range_micro_volume,ridge,67,0.20873030696817885,0.02275380120361106,-0.20237446923761337,62.53024771154814,62.414198371951045,62.27371833119573
2026-06-30 00:00:00+07:00,2026-06-30,2026-06-30 14:15:00+07:00,PM_LATE,VHM,150.3,149.8,-0.3326679973386537,range_micro_volume,ridge,67,-0.906314940918475,0.02880960828194511,0.9626297053384434,148.44234021850414,149.8431567932064,151.242019298597
2026-06-30 00:00:00+07:00,2026-06-30,2026-06-30 14:15:00+07:00,PM_LATE,VIB,16.55,16.5,-0.30211480362538623,range_micro_volume,ridge,67,0.3152149126841911,-0.040799688247946886,-0.2681815183410857,16.55201046059289,16.493268051439088,16.45575004947372
2026-06-30 00:00:00+07:00,2026-06-30,2026-06-30 14:15:00+07:00,PM_LATE,VIC,217.2,219.3,0.9668508287292932,range_micro_volume,ridge,67,-0.44221137867489835,0.5309883784460558,0.8767535979295745,218.33023044656596,220.4644575139322,221.22272064025958
2026-06-30 00:00:00+07:00,2026-06-30,2026-06-30 14:00:00+07:00,PM_LATE,VJC,138.8,139.0,0.14409221902016434,range_micro_volume,ridge,67,-0.2951582945340133,0.050501590325076104,0.44549993641789176,138.58972997059772,139.07019721055184,139.61924491162088
2026-06-30 00:00:00+07:00,2026-06-30,2026-06-30 14:15:00+07:00,PM_LATE,VNM,56.1,55.1,-1.7825311942959,range_micro_volume,ridge,67,0.30445869708805195,0.6260637870031981,0.4338067577288912,55.26775674209552,55.44496114663877,55.33902752350862
2026-06-30 00:00:00+07:00,2026-06-30,2026-06-30 14:15:00+07:00,PM_LATE,VPB,27.05,27.05,0.0,range_micro_volume,ridge,67,0.2912544732388459,-0.23018329563334453,-0.5086105706400706,27.12878433501111,26.98773541853118,26.91242084064186
2026-06-30 00:00:00+07:00,2026-06-30,2026-06-30 14:00:00+07:00,PM_LATE,VPL,88.5,88.3,-0.2259887005649719,range_micro_volume,ridge,67,-0.8782391942468489,-0.10851633403649338,0.6629844863555451,87.52451479148003,88.20418007704578,88.88541530145196
2026-06-30 00:00:00+07:00,2026-06-30,2026-06-30 14:15:00+07:00,PM_LATE,VRE,28.20136,28.35,0.5270667797581341,range_micro_volume,ridge,67,-0.715545068910537,0.18377400531584012,0.8925872048207324,28.147142972963863,28.402099930507042,28.603048472566677
