Scope,Ticker,SnapshotTimeBucket,FeatureSet,Model,Rows,UsedFeatureCount,CloseMAEPct,HighMAEPct,LowMAEPct,RangeMAEPct,CloseDirHitPct,SelectionScore
GVR,GVR,PM_LATE,range_micro_volume,ridge,224,67.0,0.8544799486725105,0.6728382907432408,0.4995501306455677,0.6612840645297151,41.964285714285715,1.0775405538344733
HDB,HDB,AM_EARLY,price_volume_core,ridge,226,81.0,0.8140430372959325,0.6300258879921027,0.5152207192683448,0.6442727069822125,48.23008849557522,0.8810998886532995
HDB,HDB,AM_LATE,price_volume_core,hist_gbm,296,81.0,0.7736421543044063,0.5505549483113649,0.44702461861065174,0.5076336110393456,45.608108108108105,0.8028431483060485
HDB,HDB,PM_EARLY,price_volume_core,hist_gbm,228,81.0,0.6288362712712114,0.43333563141391745,0.34955777257478593,0.3986349168224587,50.0,0.5149663280583852
HDB,HDB,PM_LATE,range_micro_volume,ridge,226,67.0,0.5279784535268671,0.34530679628671085,0.31454279390154527,0.41604938268373204,44.24778761061947,0.48984676807021144
HPG,HPG,AM_EARLY,price_volume_core,ridge,228,81.0,0.887807776630484,0.6734274884418285,0.5323027482252832,0.6676769940257311,46.92982456140351,0.9174534672047978
HPG,HPG,AM_LATE,price_volume_core,hist_gbm,304,81.0,0.7210587117885078,0.49193717242553003,0.42319412532691014,0.4657920887819585,55.5921052631579,0.5748283298980577
HPG,HPG,PM_EARLY,price_volume_core,hist_gbm,228,81.0,0.5590255362828243,0.39231987470914015,0.3237658246899828,0.39585589069098687,60.96491228070175,0.2701919632586143
HPG,HPG,PM_LATE,range_micro_volume,ridge,228,67.0,0.5062241204811785,0.3019182223718367,0.3047526833944506,0.36817445773785545,36.84210526315789,0.5117447491426435
LPB,LPB,AM_EARLY,price_volume_core,ridge,176,81.0,1.6619595329449204,1.1950743923672116,1.0207835335504603,1.0032120436487992,44.31818181818182,2.4244848845374714
LPB,LPB,AM_LATE,price_volume_core,hist_gbm,227,81.0,1.258084535212719,0.8392256882999227,0.8722445233581584,0.9008631113736741,59.91189427312775,1.5867825565832752
LPB,LPB,PM_EARLY,price_volume_core,hist_gbm,210,81.0,0.9746235926488428,0.6336807608146047,0.648642404327239,0.7384309886850802,57.61904761904761,1.2117763655846054
LPB,LPB,PM_LATE,range_micro_volume,ridge,206,67.0,0.8659905484519432,0.6384411439882256,0.6106810001631815,0.8086458884971206,53.398058252427184,1.1893036623834847
MBB,MBB,AM_EARLY,price_volume_core,ridge,228,81.0,0.6221577069353885,0.647920601978529,0.5037556608589465,0.8085493054889633,46.92982456140351,0.5991518212271032
MBB,MBB,AM_LATE,price_volume_core,hist_gbm,303,81.0,0.5077669711586661,0.4024616438512265,0.39988066455966853,0.46630241324153704,60.396039603960396,0.23636033147399127
MBB,MBB,PM_EARLY,price_volume_core,hist_gbm,228,81.0,0.40457017795585914,0.32863331535226736,0.3174746402698738,0.40176243723830607,57.01754385964912,0.10788758270649434
MBB,MBB,PM_LATE,range_micro_volume,ridge,228,67.0,0.39129797902255276,0.2929547270071608,0.2558437184762023,0.402605836145727,38.59649122807017,0.40973184979664723
MSN,MSN,AM_EARLY,price_volume_core,ridge,226,81.0,0.9639264087603693,0.7583517779099622,0.6466336958525375,0.8157827221773718,48.67256637168141,1.0584623817797505
MSN,MSN,AM_LATE,price_volume_core,hist_gbm,301,81.0,0.8035901919108834,0.5346053808673887,0.5365385902363644,0.5294676147752527,50.83056478405316,0.7854278395155697
MSN,MSN,PM_EARLY,price_volume_core,hist_gbm,227,81.0,0.7226991415805755,0.4297944628022582,0.45152810996773207,0.4368563096849761,45.37444933920705,0.6744653675966206
MSN,MSN,PM_LATE,range_micro_volume,ridge,228,67.0,0.527548492760619,0.34535966941298535,0.3294668310623668,0.43169348880263525,42.10526315789473,0.47015991147437486
MWG,MWG,AM_EARLY,price_volume_core,ridge,226,81.0,1.0572514089294736,0.7237444031463051,0.6123190644990385,0.792959578934937,52.21238938053098,1.0822970739980176
MWG,MWG,AM_LATE,price_volume_core,hist_gbm,300,81.0,0.8717684420278768,0.5517560725761004,0.5296844254995905,0.5761963790841571,50.66666666666667,0.8927217560216288
MWG,MWG,PM_EARLY,price_volume_core,hist_gbm,227,81.0,0.8053416829964102,0.5578078515746243,0.43929304188545587,0.5201827447910061,50.66079295154186,0.8146782676650882
MWG,MWG,PM_LATE,range_micro_volume,ridge,228,67.0,0.5934281036431456,0.37555089119636764,0.3772502382398296,0.45083346982779254,50.43859649122807,0.500751872141029
PLX,PLX,AM_EARLY,price_volume_core,ridge,221,81.0,1.8989146638498606,1.3799275210111936,1.0544542108152963,1.1449035744221918,61.53846153846154,2.7338271873424
PLX,PLX,AM_LATE,price_volume_core,hist_gbm,283,81.0,1.6544945127197075,1.160322709587408,0.9462827916873263,1.0206858258568867,59.717314487632514,2.292172406695782
PLX,PLX,PM_EARLY,price_volume_core,hist_gbm,226,81.0,1.2457155362152599,0.9717127198601295,0.7363687095711381,0.8366688900105878,55.75221238938053,1.6822908649241344
PLX,PLX,PM_LATE,range_micro_volume,ridge,228,67.0,0.8293388780693476,0.7231606391559655,0.4930507196529252,0.7347945516404171,46.92982456140351,0.9560388723281197
SAB,SAB,AM_EARLY,price_volume_core,ridge,200,81.0,0.9335420019906073,0.8570169819022382,0.6120798632542677,0.9217291600060686,47.0,1.1484552412418403
SAB,SAB,AM_LATE,price_volume_core,hist_gbm,224,81.0,0.7388056492757402,0.6350848842965016,0.45896325491979295,0.5743390312567284,53.125,0.7535741701953631
SAB,SAB,PM_EARLY,price_volume_core,hist_gbm,212,81.0,0.6195993903541068,0.5475090029001544,0.335008959716189,0.535925969775284,45.75471698113208,0.6414656738209572
SAB,SAB,PM_LATE,range_micro_volume,ridge,199,67.0,0.5264233818279774,0.47001855930245123,0.2889486387431014,0.5159055231537153,46.231155778894475,0.5585560745507365
SHB,SHB,AM_EARLY,price_volume_core,ridge,228,81.0,0.9116815973553718,0.6301711848869,0.49443118934838426,0.6231633913297508,41.66666666666667,1.053395278441423
SHB,SHB,AM_LATE,price_volume_core,hist_gbm,301,81.0,0.8814011718649725,0.662362927299946,0.46831746429949905,0.7172806612300907,46.84385382059801,0.9831352813863734
SHB,SHB,PM_EARLY,price_volume_core,hist_gbm,228,81.0,0.8330730977626939,0.5329046680425186,0.3493863111334423,0.5288435169605238,46.05263157894737,0.920809890166427
SHB,SHB,PM_LATE,range_micro_volume,ridge,228,67.0,0.6902899765060386,0.5331294448673924,0.3363885991721465,0.6499325964956001,45.17543859649123,0.9958488812942073
SSB,SSB,AM_EARLY,price_volume_core,ridge,133,81.0,0.7470422246243114,0.6599817037242389,0.4907232552495002,0.7289473991108556,36.09022556390977,0.895642973162674
SSB,SSB,AM_LATE,price_volume_core,hist_gbm,170,81.0,0.6939387177932435,0.48150710041662054,0.4357045649441219,0.5198407296216279,50.0,0.6865611579129602
SSB,SSB,PM_EARLY,price_volume_core,hist_gbm,179,81.0,0.6495248501580843,0.4341630406630601,0.33908410612714873,0.4101835134378422,58.659217877094974,0.4961849333216829
SSB,SSB,PM_LATE,range_micro_volume,ridge,172,67.0,0.6000332436956017,0.6911577062764127,0.6034601270388347,1.1959935088523004,46.51162790697674,1.4867657609295752
SSI,SSI,AM_EARLY,price_volume_core,ridge,228,81.0,0.9776148265068332,0.7285451002851984,0.5772644482193235,0.6237553568293596,55.26315789473685,1.0553782033987482
SSI,SSI,AM_LATE,price_volume_core,hist_gbm,304,81.0,0.7836872702671842,0.5284084529911378,0.48860617932956696,0.49890464465033063,68.0921052631579,0.6359046460852328
SSI,SSI,PM_EARLY,price_volume_core,hist_gbm,228,81.0,0.6548882079743834,0.4477242148611772,0.3959388094832512,0.40946830634735415,58.77192982456141,0.5084434533949762
SSI,SSI,PM_LATE,range_micro_volume,ridge,228,67.0,0.5598758276710714,0.37710706923097026,0.3042098101511371,0.3908706541543563,43.42105263157895,0.49690039799146996
STB,STB,AM_EARLY,price_volume_core,ridge,222,81.0,1.5033623661224593,1.1928206435361415,0.8765166786713439,1.0127034615918784,53.153153153153156,2.154775857582201
STB,STB,AM_LATE,price_volume_core,hist_gbm,298,81.0,1.2996993535802224,0.9803635768758191,0.7399004892750238,0.7735123103828528,60.40268456375839,1.6701482101059357
STB,STB,PM_EARLY,price_volume_core,hist_gbm,227,81.0,1.0115718527826514,0.7019688109828703,0.6000650287864231,0.6539795042182585,56.38766519823789,1.242303098006745
STB,STB,PM_LATE,range_micro_volume,ridge,226,67.0,0.9367993106463874,0.4586584769644376,0.5448666792070781,0.5348257804540609,47.78761061946903,1.037495155581693
TCB,TCB,AM_EARLY,price_volume_core,ridge,228,81.0,0.9014939874913066,0.7646825464615824,0.6662072690519344,0.9596476786925278,52.19298245614035,0.9977019743132349
TCB,TCB,AM_LATE,price_volume_core,hist_gbm,301,81.0,0.6779921375391947,0.49520774417377017,0.482246476731232,0.5567202184867592,50.498338870431894,0.6291313415960684
TCB,TCB,PM_EARLY,price_volume_core,hist_gbm,227,81.0,0.614678856484406,0.4336550792285606,0.39093263990953075,0.46527966427317585,48.89867841409692,0.5152078229216768
TCB,TCB,PM_LATE,range_micro_volume,ridge,228,67.0,0.5295849873878724,0.3755007255536479,0.32528314196971975,0.4085130698518768,38.15789473684211,0.5624248788425579
