Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2025-10-09,14200,0.65053,70600,3.233795,-56400,-2.583265
2025-10-08,32500,1.49674,18500,0.851095,14000,0.645645
2025-10-07,20500,0.94738,6300,0.29117,14200,0.65621
2025-10-06,46500,2.142365,27800,1.27454,18700,0.867825
2025-10-03,58900,2.68632,200,0.0091,58700,2.67722
2025-10-02,9600,0.43776,12300,0.55912,-2700,-0.12136
2025-10-01,25200,1.14305,17900,0.81149,7300,0.33156
2025-09-30,7400,0.334835,31900,1.446605,-24500,-1.11177
2025-09-29,18900,0.86024,19600,0.893255,-700,-0.033015
2025-09-26,11100,0.50778,28900,1.32159,-17800,-0.81381
2025-09-25,6300,0.29006,10900,0.50063,-4600,-0.21057
2025-09-24,16800,0.769875,39900,1.823105,-23100,-1.05323
2025-09-23,4200,0.192275,23200,1.061805,-19000,-0.86953
2025-09-22,34400,1.57306,5600,0.25766,28800,1.3154
2025-09-19,14100,0.65502,6600,0.30717,7500,0.34785
2025-09-18,45300,2.122835,27900,1.31264,17400,0.810195
2025-09-17,31800,1.51217,31100,1.482465,700,0.029705
2025-09-16,8700,0.41342,62600,2.95888,-53900,-2.54546
2025-09-15,5300,0.247995,10500,0.491485,-5200,-0.24349
