Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2025-10-29,119806,6.91225,451120,25.91209,-331314,-18.99984
2025-10-28,359900,20.54938,320300,18.27727,39600,2.27211
2025-10-27,300100,17.35055,901700,51.88445,-601600,-34.5339
2025-10-24,985500,56.65343,325900,18.45183,659600,38.2016
2025-10-23,563300,31.98976,119200,6.75895,444100,25.23081
2025-10-22,165100,9.25776,809100,45.66038,-644000,-36.40262
2025-10-21,699700,39.92245,742100,42.21415,-42400,-2.2917
2025-10-20,570700,33.27706,2128400,120.51473,-1557700,-87.23767
2025-10-17,419500,25.4041,1121900,66.86777,-702400,-41.46367
2025-10-16,488500,29.6247,470800,28.56752,17700,1.05718
2025-10-15,344600,22.01333,113100,7.23033,231500,14.783
2025-10-14,615700,39.23855,557300,35.53841,58400,3.70014
2025-10-13,675100,42.85753,666500,41.67822,8600,1.17931
2025-10-10,235500,14.78927,1249200,78.30105,-1013700,-63.51178
2025-10-09,177700,11.1756,1281700,80.58579,-1104000,-69.41019
2025-10-08,694400,43.60901,856900,53.45294,-162500,-9.84393
2025-10-07,299500,18.6319,1036800,63.98072,-737300,-45.34882
2025-10-06,1060100,65.94857,360400,22.41623,699700,43.53234
2025-10-03,866150,53.586065,717900,44.15895,148250,9.427115
2025-10-02,205000,12.70791,372100,22.92422,-167100,-10.21631
2025-10-01,1694400,104.50807,272800,16.83615,1421600,87.67192
2025-09-30,56800,3.42067,569500,34.2983,-512700,-30.87763
2025-09-29,346200,21.04605,947400,57.32158,-601200,-36.27553
2025-09-26,285700,17.58071,350800,21.50528,-65100,-3.92457
2025-09-25,486000,30.07732,402400,24.86642,83600,5.2109
2025-09-24,529800,32.63182,332000,20.38318,197800,12.24864
2025-09-23,584200,36.26558,715500,44.27071,-131300,-8.00513
2025-09-22,396200,24.64507,743500,46.09214,-347300,-21.44707
2025-09-19,485600,30.51971,616400,38.69761,-130800,-8.1779
2025-09-18,588300,37.65292,507800,32.46742,80500,5.1855
2025-09-17,643600,42.26936,1638200,107.67042,-994600,-65.40106
2025-09-16,998100,64.68752,1963400,126.3509,-965300,-61.66338
2025-09-15,197500,12.46318,451700,28.50942,-254200,-16.04624
2025-09-12,1074000,67.47354,1003300,62.89418,70700,4.57936
