Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2025-10-06,29200,0.800195,23500,0.63841,5700,0.161785
2025-10-03,230800,6.20316,400,0.01088,230400,6.19228
2025-10-02,12800,0.35444,16400,0.4522,-3600,-0.09776
2025-10-01,20400,0.569845,31200,0.869535,-10800,-0.29969
2025-09-30,9600,0.26528,33500,0.94106,-23900,-0.67578
2025-09-29,25200,0.716775,25000,0.71137,200,0.005405
2025-09-26,8800,0.25334,31600,0.907025,-22800,-0.653685
2025-09-25,8400,0.241895,14100,0.406085,-5700,-0.16419
2025-09-24,24000,0.6815,20800,0.5867,3200,0.0948
2025-09-23,10400,0.29462,8700,0.24736,1700,0.04726
2025-09-22,28800,0.823745,6000,0.17197,22800,0.651775
